1000 279
11 999999910 181
855441 667223 3368
999999983 58 111
352984 462651 2939
30 89 44
915518 68310 2089
420739 420946 174
626658 668828 176
690315 690331 55
549650 441723 6735
76 999999989 153
609330 230211 8197
999999970 9 91
117146 41054 4137
87 98 44
597012 326532 5433
420905 420735 155
861168 786355 2694
690364 690289 60
855292 362448 4189
53 999999971 93
770957 30991 3757
999999917 21 143
744083 274280 6416
58 30 44
754977 285306 4418
420811 420695 138
466456 530567 1056
690381 690382 84
741060 101304 3977
44 999999906 117
339759 278092 4758
999999956 57 133
433125 745740 5618
65 6 39
84316 939250 3096
420702 420716 137
111250 556061 820
690262 690350 80
30511 429061 1637
24 999999960 145
881433 10915 193
999999986 92 118
994216 486740 3481
91 10 35
410705 486506 4423
420753 420711 138
242878 492171 6370
690413 690395 41
692224 138672 2113
81 999999983 144
443568 512662 1724
999999948 87 87
633914 801708 1384
36 26 24
863297 120118 7247
420698 420923 170
536342 996333 9378
690311 690250 33
85177 847438 2116
87 999999931 199
50432 791697 6100
999999975 99 158
191818 287713 3812
47 97 46
680555 675665 4374
420831 420935 161
605591 84042 9940
690348 690287 93
754339 428516 9418
98 999999991 163
63992 738263 235
999999928 48 77
107670 725585 1483
49 96 22
682726 470794 262
420867 420928 167
41524 934717 8612
690325 690258 39
696614 195853 7051
99 999999962 124
370363 719578 3335
999999959 28 73
907512 331844 1978
55 14 46
824177 621076 2170
420911 420788 157
125898 908255 1660
690245 690276 36
174406 452186 8112
23 999999938 167
144206 683408 3616
999999958 16 146
689237 907687 6416
45 90 31
400733 788742 7262
420898 420772 158
527053 636938 9885
690332 690397 46
195794 498145 5217
21 999999992 145
539501 141994 5111
999999921 40 156
19965 150054 1865
26 23 34
808106 151141 4958
420822 420729 190
651231 489374 6215
690314 690408 93
754860 620131 2567
33 999999968 152
721182 769467 5023
999999924 31 74
568696 245789 6436
90 50 25
298658 908592 8610
420922 420883 193
393254 51390 9500
690340 690359 25
599147 146715 4557
48 999999918 181
986343 454637 7025
999999962 18 159
605873 133806 9735
81 24 31
607610 224182 2469
420807 420737 179
340602 67281 933
690315 690410 37
717492 241280 9160
94 999999977 144
194074 556332 9582
999999962 39 190
837996 939577 4527
77 15 43
615113 542201 1301
420923 420838 59
467583 988799 2997
690378 690410 60
683758 448192 659
28 999999975 165
143061 447158 2175
999999975 98 98
903133 726997 4075
71 97 25
559371 195496 6919
420738 420747 152
358254 20463 3584
690296 690266 58
197788 322351 8793
93 999999940 105
635560 193898 3379
999999906 44 59
424809 831317 9489
4 79 31
314020 334032 6064
420836 420879 157
779567 826636 1527
690248 690315 100
446463 284579 1974
52 999999952 112
486229 161856 9563
999999927 46 174
212149 672686 9780
39 23 41
949698 975117 9628
420948 420955 151
972310 938433 9609
690284 690261 70
182410 638375 189
81 999999903 118
468008 841501 2971
999999988 20 104
142876 873657 885
42 22 27
108697 607719 815
420908 420827 166
125028 994778 3979
690253 690344 86
454932 115707 5876
9 999999948 178
848505 297100 3256
999999943 11 153
772996 397271 2225
17 15 45
294289 652659 35
420702 420819 98
49474 65879 4897
690394 690291 93
954418 994456 930
74 999999966 108
643611 690832 6732
999999944 50 149
274908 731184 7678
69 81 45
43592 760767 7334
420802 420775 69
485912 570186 9381
690369 690388 61
946008 302017 187
21 999999988 116
316645 412886 1986
999999982 34 131
744338 200431 4515
71 69 40
233010 900928 4216
420929 420871 105
846162 964253 7203
690350 690340 37
303672 231968 2234
72 999999940 134
71116 675337 8182
999999935 9 137
793314 808063 9359
72 74 21
861479 608287 1237
420860 420731 197
130644 569454 6990
690352 690395 91
98085 137881 6449
19 999999942 110
643378 921567 5347
999999901 14 140
481493 613302 3184
91 97 29
11012 379358 743
420792 420722 176
288951 648814 5661
690270 690353 91
987598 110206 4170
59 999999986 69
565966 342144 5613
999999955 45 133
448126 896089 565
18 66 38
934124 780420 6801
420750 420896 146
872252 694181 949
690322 690398 98
819529 243143 557
61 999999907 164
581437 274395 1326
999999972 60 155
609097 182770 2519
9 93 40
763731 175311 3232
420798 420691 63
860353 862847 5026
690244 690400 92
794511 40668 3140
75 999999998 88
889579 933640 2709
999999979 34 153
422242 363775 3202
85 78 22
680104 613428 8278
420736 420719 96
792099 742692 3410
690249 690278 80
11097 234742 1229
11 999999907 106
711806 441361 5792
999999923 49 60
332304 17031 3088
23 18 45
698794 879908 9142
420947 420693 128
819558 761024 1613
690252 690276 56
400436 180288 4020
36 999999901 135
185760 946554 1565
999999969 99 136
973842 741037 7732
65 37 40
754807 200562 8432
420848 420877 66
64271 130339 8144
690328 690290 39
903158 499287 4342
7 999999920 51
968485 828582 3542
999999931 94 181
232452 80905 355
65 62 46
904113 854466 4903
420760 420761 183
311642 461647 6550
690385 690271 48
294546 176560 476
100 999999960 67
948279 108265 3077
999999923 66 64
126393 561803 5897
56 2 45
738042 426879 4951
420786 420936 64
122457 757312 2193
690327 690340 48
17679 315924 2476
67 999999965 116
483802 314446 8493
999999988 98 134
682547 446655 8325
27 70 28
209875 522217 3170
420794 420888 155
986869 785130 6815
690271 690252 49
16204 5067 4312
43 999999929 107
934163 9394 1254
999999911 7 112
188112 383388 8568
67 7 24
363941 309911 4212
420836 420840 112
966858 221794 9210
690353 690350 26
156975 357772 6658
97 999999908 109
399449 491650 272
999999970 96 111
784763 977759 4383
64 74 48
951895 598309 3551
420921 420946 158
349244 659140 7951
690250 690248 89
72853 332382 4414
52 999999964 131
442698 108597 7500
999999963 50 103
684955 444925 4057
2 52 38
23854 824056 5571
420801 420920 64
491898 287031 9337
690406 690348 82
247885 228763 5098
24 999999903 78
583399 717027 4648
999999915 64 52
586071 490453 847
65 93 37
818703 498671 6728
420885 420725 132
663713 146048 5363
690240 690270 99
978754 614785 8131
63 999999948 50
130216 21389 5134
999999946 16 166
742293 398032 1457
41 59 34
698548 594064 9325
420700 420829 91
94055 571744 9739
690242 690341 59
901811 549671 1071
25 999999901 162
176675 388322 395
999999978 33 78
221205 278974 2426
69 27 20
422118 698240 3481
420772 420767 170
23279 696371 801
690411 690272 55
845260 64988 9971
97 999999936 155
492236 182361 1934
999999912 90 111
551518 540635 7381
73 97 43
869969 624206 9634
420858 420765 74
551302 768978 1501
690306 690409 37
605053 73166 7346
61 999999950 99
751628 402438 8968
999999973 42 160
